Bill+version,Notes,Score,Fiscal Impact,Lack substance?,Lacks substance explanation,Non-binding or unenforceable?,Non-binding or unenforceable explanation,Unlawful or unconstitutional?,Unlawful or unconstitutional explanation,Grows government?,Grows government explanation,Reduces accountability?,Reduces accountability explanation,Contradicts separation of powers?,Contradicts separation of powers explanation,Legal plunder?,Legal plunder explanation,Infringes on rights or liberties?,Infringes on rights or liberties explanation,Non-government alternative exists?,Non-government alternative exists explanation,Raises taxes?,Raises taxes explanation,Increases debt?,Increases debt explanation,Other objection?,Other objection explanation
H 3203,"This bill orders DHEC to issue a new regulation for mold remediators recommending that they follow the established ANSI industry standard for mold cleanup, and to publish a list of those remediators who do.",-1,,,,,,,,,,,,,,,,,,checked,"Section A of the bill itself points out the industry standard that is already widely recognized and followed:

Institute of Inspection, Cleaning and Restoration Certification (IICRC) as set forth in the most recent edition of ANSI/IICRC S520, Standard for Professional Mold Remediation

Furthermore, the private sector already provides ways to find reputable mold remediators who follow this standard.

""If you can find it in the Yellow Pages, government shouldn't be doing it.""",,,,,,
H 3266,"This bill creates a new tax on horse feed, which will then fund a brand-new “Equine Promotion Board” for the purpose of “research, education, and promotion of the equine industry.”",-4,$203300,,,,,,,checked,"This bill establishes a new state board, new state program, and a new tax. Not surprisingly, the Department of Agriculture will need 0.33 new full-time employee equivalents (FTEs) to implement the bill.",,,checked,"Making appointments to the board is split between the executive branch, the legislative branch, and several persons from the private sector. This should be an executive function carried out by the Governor who is elected by the entire state.",,,,,checked,The equine industry and the named stakeholders on the board are fully capable of promoting the industry without requiring the state to step in and tax horse feed to do it.,checked,"The bill levies a new fee of $2 per ton on commercial horse feed to fund the Equine Promotion Board. This is estimated to come to $178,000 in the first year.",,,,
H 3295,"This bill enables K-12 schools to implement Competency-Based Education (CBE). This is a system of instruction where students advance to higher levels of learning as soon as they demonstrate mastery of concepts and skills regardless of time, place or pace.

Fiscal Impact: MISSING",-2,,,,,,,,checked,"Per the fiscal impact statement, the Department of Education will require two full time CBE coaches to implement this program.",,,,,,,,,,,,,,,checked,"Competency-Based Education is an evolution of Outcome-Based Education which failed in the 1990s and was rejected by parents.

Computer systems have made it easier to implement this style of learning system, but CBE has failed to deliver better education in states that have implemented it, such as Maine in the mid 2010s.

Cognitive science could explain the failure. A research paper from 2017 asserted that ""unless students have stored important facts in long-term memory, they haven't learned them in a usable way--and if they learn only the content they choose, students aren't likely to make the sustained effort needed to do so. Letting students choose their pace also runs afoul of cognitive science because the thinking needed for learning is so fatiguing that students need 'the equivalent of a trainer in the gym' to help them keep on pace.""

For more information, see:
- https://thefederalist.com/2017/05/04/competency-based-education-will-deepen-americas-education-crisis
- https://eric.ed.gov/?q=personalization&ff1=souEducational+Leadership&id=EJ1132313"
H 3312,"This bill creates the Child Food and Nutrition Services Study Committee, comprised of nine members to examine the advisability of transferring the administration of certain food and nutrition programs from the Department of Education to the Department of Agriculture.",-1,$0,checked,"Instead of setting up a committee to ""study"" an issue, concerned legislators should file meaningful legislation that accomplishes their desired objectives. 

This committee will change nothing and its findings will likely be ignored by the legislature.",,,,,,,,,,,,,,,,,,,,,,
H 3360,"This bill establishes the Center for School Safety and Targeted Violence within the State Law Enforcement Division (SLED) to provide extensive training, education, and expertise in the fields of school safety and targeted violence.",-2,$3594840,,,,,,,checked,"SLED anticipates a need for 6.0 FTEs, equipment, operating expenses, and capital project needs to establish the Center for School Safety and Targeted Violence. This would require General Fund appropriations of $3,594,840 in FY 2023-24.",,,,,,,,,checked,There are already private individuals and organizations available to provide this type of consultation and training of school districts. A better plan would be for the State Department of Education to provide a list of these resources to districts at no added cost to the taxpayer.,,,,,,
H 3425,"This bill removes the earnings limitation for a retiree of the Police Officers Retirement System (PORS) if the employee is separated from covered employment for at least twelve months before returning to covered employment, or if the retiree returns to employment in a critical needs law enforcement position. The bill additionally removes the earnings limitation for a retiree of the South Carolina Retirement System (SCRS) if the employee is separated from covered employment for at least twelve months before returning to covered employment.",-1,$88000000,,,,,,,,,,,,,,,,,,,,,checked,"This bill will increase the unfunded actuarial accrued liability of PORS by $73,000,000. Should the General Assembly choose to fund this increase, this bill will result in a one-time increase of $88,000,000 in expenditures in FY 2023-24. ",,
H 3432,"The so-called ""South Carolina Right To Grow Act"" allows farms to protect themselves from nuisance complaints from neighbors by adhering to best practices. However, the good parts of the bill are completely negated by granting the Commissioner of Agriculture new, sweeping powers to define ""best practices,"" fine farmers $1000/instance and $250/day for not following them, restricting the ability of the farmer to appeal to a jury of his peers in the event of a tyrannical commissioner, enables a new kind of agriculture districts similar to zoning which may interfere with private land use rights, and creates a new government program to try to keep farmland from getting developed for other uses.

Fiscal Impact: MISSING",-4,,,,,,,,checked,"Sections -30(A) makes the Commissioner of Agriculture the sole arbiter of what is a ""best practice"" in farming. This is dangerous and liable to abuse, since farmers themselves are a minority constituency, and because ""best practices"" are ever-evolving and some best practices may not be recognized by the commissioner. Even this bill may exclude some best practices, as seen in the definition of ""Composting"" in Section -20(5) which excludes anaerobic (i.e., without air, or ""slow"") composting from the definition of composting.

Section -80 allows malicious neighbors of farms to issue agenda-driven complaints to the Agriculture commissioner. If the farm doesn't live up to the commissioner's definition of ""best practices,"" or if the commissioner has a philosophically different approach to farming than the farmer does, then this section gives the commissioner the power to issue fines of up to $1000 per violation and $250 per day. As if that were not bad enough, it makes the commissioner a mandatory reporter to the Attorney General for possible prosecution!

Section -90 creates a new fund called the ""Agricultural Complaint Response Fund.""

Section -140 creates a new government program called ""The South Carolina Working Farmland Access and Protection Program"" funded by a new fund called the ""South Carolina Working Farmland Access and Protection Fund.""",,,,,,,checked,"Section -110 limits the due process rights of a farmer who has been fined by the commissioner for a failure to abide by ""best practices"" as defined by the commissioner by limiting the ability for the farmer to introduce evidence which the commissioner has chosen not to include in the agency record.

Section -130 creates a new kind of agricultural district, which could end up interfering with private land use rights. As undesirable as it may be, a person owning a farm should have the right to farm it, or to sell it to whomever they choose.",checked,"Farmers in South Carolina are not helpless, and the state is not the savior. This bill could be described as a big government solution to a big government problem. What farmers need is less interference from government, period.",checked,"Section -80 allows the commissioner to fine farmers who do not follow ""best practices"" as determined by the commissioner, up to $1000 per violation and $250 per day.

Section -130(F) allows for new fees to be levied of an undetermined amount by the Commissioner of Agriculture.",,,,
H 3433,This bill removes the requirement for DNR to have proof of delivery of notice when a hunting or fishing license is suspended via certified mail and makes appealing a wrongful hunting or fishing license suspension more difficult.,-1,$0,,,,,,,,,,,,,,,checked,"Section 4 requires an appeal of a wrongful hunting or fishing license suspension to be made to the Administrative Law Court under the South Carolina Administrative Procedures Act. Section 5 repeals the existing appeal process to a circuit court in 50-9-1160.

This deprives citizens’ rights to due process when a wrongful license suspension is made in at least the following two ways:

	1. Under 1-23-600(E) and 1-23-380(4) and (5), only DNR's official record will be considered by the Administrative Law Court during an appeal. The person making the appeal will not be allowed to submit any evidence that DNR did not include in their official record.

	2. The Administrative Law Court will involve a jury of one’s peers in the decision.

For more information on the ways that administrative law violates the right to due process, see The Administrative Threat to Civil Liberties (Philip Hamburger, Cato Institute). ",,,,,,,,
H 3433 (Senate),This bill removes the requirement for DNR to have proof of delivery of notice when a hunting or fishing license is suspended via certified mail and makes appealing a wrongful hunting or fishing license suspension more difficult.,-1,$0,,,,,,,,,,,,,,,checked,"Section 3 requires an appeal of a wrongful hunting or fishing license suspension to be made to the Administrative Law Court under the South Carolina Administrative Procedures Act.

This deprives citizens’ rights to due process when a wrongful license suspension is made in at least the following two ways:

1. Under 1-23-600(E) and 1-23-380(4) and (5), only DNR's official record will be considered by the Administrative Law Court during an appeal. The person making the appeal will not be allowed to submit any evidence that DNR did not include in their official record.

2. The Administrative Law Court will not involve a jury of one’s peers in the decision.

For more information on the ways that administrative law violates the right to due process, see The Administrative Threat to Civil Liberties (Philip Hamburger, Cato Institute). ",,,,,,,,
H 3467,"This bill aims to protect free expression on college campuses and bans ""free speech zones.""",-1,,,,,,checked,"Section 59-148-210 attempts to waive the provisions of the 11th amendment of the United States Constitution, which provides that ""The Judicial power of the United States shall not be construed to extend to any suit in law or equity, commenced or prosecuted against one of the United States by Citizens of another State, or by Citizens or Subjects of any Foreign State.""

However, nothing in the Constitution gives a state the power to waive the 11th amendment.",,,,,,,,,,,,,,,,,,
H 3503,This bill creates a new crime of “fentanyl trafficking” and prescribes penalties.,-1,,,,,,,,,,,,,,,,,,,,,,,,checked,"Establishes mandatory minimums—Section 2 establishes mandatory minimums of 7 years without parole for a first offense involving less than 14 grams, and 25 years for a first offense involving less than 28 grams or more.

Mandatory minimums have failed to stop the spread of harmful drugs, and this bill is inconsistent with the larger effort to remove mandatory minimums so that judges can prescribe penalties that actually fit the crime for first offenders.

See H.3623, passed by the South Carolina House on 04/29/2021."
H 3514,"This bill legalizes, regulates, and taxes horse betting.",-5,$1874400,,,,,,,checked,"To regulate horse betting, this bill creates a new state agency under the Department of Revenue called the South Carolina Equine Commission. Per Section 52-5-330, this new agency will have broad and not clearly defined powers, including the power to tax the industry at will.",checked,"Section 52-5-400 grants immunity to the members of the commission. It states:

Neither the commission nor any officer, employee, or committee of the commission acting on behalf of it, while acting within the scope of its authority, is subject to any liability resulting from carrying out any of the powers given in this chapter and is absolutely immune from actions or inactions within the scope of their authority.",checked,"The South Carolina Equine Commission grants four of seven appointments to the legislative branch, in particular, to legislative leadership. This represents legislative control over an area of executive responsibility and violates the separation of powers between the two branches.

This type of setup invites corruption and unaccountability, and it has not worked well for South Carolina. We need to get rid of the unaccountable, legislatively-appointed board and commissions that we have, not create more of them.",checked,"Section 52-5-370 creates a new fund called the Equine Industry Development Fund. Section 52-5-380 states the purpose of the fund is ""to provide grants to promote and improve the equine industry in the State."" These tax dollars will flow to various private entities at the sole discretion of the commission. This is a form of legal plunder.",checked,"If horse betting were to be made legal, it should be legal to all qualified participants. However, Section 52-5-360(E) restricts the commission from issuing more than three licenses, meaning that up to three companies will have a total monopoly on the horse betting industry in South Carolina.

The commission will have the sole power to choose who the three industry players are. This interferes with the self-corrective nature of free market capitalism and invites corruption.",,,,,,,,
H 3518,"This otherwise routine code cleanup bill includes a provision that orders the Department of Insurance to annually increase the driver's license reinstatement fees, apparently without legislative review.

Fiscal Impact: MISSING",-2,,,,,,,,,,,,checked,"Setting taxes and fees is a legislative duty, but Section -520(D) orders the Department of Insurance to annually increase the driver's license reinstatement fee. The language of this provision is to do this ""by order"" which appears to circumvent the usual process of promulgating a regulation, getting public comment, and subjecting the change to legislative review.",,,,,,,checked,"Section -520(D) establishes an automatic annual increase of the driver's license reinstatement fee, in an amount to be determined by the Department of Insurance.",,,,
H 3557,"This bill changes the definition of abandonment of a child, specifies that DSS must provide consent for adoption when a child is abandoned, and adds parents who abandon a child to the list of persons not required to give consent for adoption.",-1,$0,,,,,,,,,,,,,,,checked,"This bill drastically changes the definition of abandonment in a way that will be used to strip qualified parents of their rights to be a part of their children’s lives. The current definition of abandonment reads:
""a parent or guardian wilfully deserts a child or wilfully surrenders physical possession of a child without making adequate arrangements for the child's needs or the continuing care of the child""
This bill will change the definition to:
""the conduct of a parent or guardian, while being able to, of making little or no provision for the child's support or making little or no effort to communicate with the child, which situation is sufficient to evince an intent to reject parental responsibilities. If, in the opinion of the court, the efforts of such parent, guardian, or other person responsible for the child's welfare to support and communicate with the child are only marginal efforts that do not evince a settled purpose to assume all parental duties, the court may declare the child to be abandoned. In making this decision, the court may consider the conduct of a father toward the child's mother during her pregnancy.""
This very subjective definition will give greater leeway to family court judges to take children away from good, qualified, loving parents. It will invite and potentially reward the already-rampant perjury in family court, and it will invite parental alienation tactics.",,,,,,,,
H 3557 (Committee),"This bill adds a definition to the children's code for abandoned and changes the definition of abandonment of a child. Additionally, this bill specifies that DSS must provide consent for adoption when a child is voluntarily left with a safe haven or was otherwise abandoned. Lastly, this bill adds the parents of an infant who was left at a safe haven and the parents of a child who was otherwise abandoned to the list of persons not required to give consent or relinquishment for adoption.",-1,$0,,,,,,,,,,,,,,,checked,"This bill drastically broadens the definition of abandonment in a way that will be used to strip qualified parents of their rights to be a part of their children’s lives.
The current definition of abandonment reads:
""a parent or guardian wilfully deserts a child or wilfully surrenders physical possession of a child without making adequate arrangements for the child's needs or the continuing care of the child""
This committee version of this bill adds to the existing definition:
""or conduct of a parent or guardian, while being able, of making no significant contribution to the child's care and maintenance or failing to establish or maintain a substantial and positive relationship with the child, which conduct is sufficient to evince an intent to reject parental responsibilities. If, in the opinion of the court, the efforts of such parent, guardian, or other person responsible for the child's welfare are only marginal or incidental efforts that do not evince a settled purpose to assume all parental duties, the court may declare the child to be abandoned.""
This is a subjective definition that gives greater leeway to family court judges to take children away from fit, willing, and able parents.
There was a rumor that the Judiciary committee fixed the bill, however they did not. In particular, these issues remain:
- ""making no significant contribution to the child's care and maintenance"" could be exploited in family court by a spouse wishing to gain full custody by characterizing a low-income dad's faithful child support payments to be characterized as ""abandonment"" if the payments do not constitute a satisfactorily large portion of the other parent's expenses.
- ""failing to establish or maintain a substantial and positive relationship with the child"" could be strictly interpreted to include situations where one parent routinely thwarts all attempts of the other parent to communicate with their child, even if such thwarting is in direct violation of court orders. This could be exploited in similar fashion to claim in family court that the other parent abandoned their child in order to gain an advantage over the other parent.
- ""which conduct is sufficient to evince an intent to reject parental responsibilities"" leaves it completely up to the judge. The judge may not even bother, and may leave the finding to the judgement of the attorney representing the preferred party. It is not uncommon for family court judges to accept and rubber stamp draft orders from the attorneys of each party!",,,,,,,,
H 3558,"This bill requires DSS, before placing a child with a relative, to interview for fitness, visit the home, and to execute a 90-day safety plan before placing a child with a relative and to monitor compliance weekly. After the safety plan expires, then DSS may follow it with a treatment plan. This bill also allows DSS to place the child with a relative within 72 hours after removal of the child from the home, and extends the timeframe in which DSS must provide the court with records involving all adults in the home of removal.",-1,$1521246,,,,,,,checked,"Per the fiscal impact statement, DSS anticipates a need for the equivalent of an additional 15 full-time employee.",,,,,,,,,,,,,,,,
H 3563,This bill exempts the sale of feminine hygiene products from sales and use tax.,-1,$7325000,,,,,,,,,,,,,,,,,,,checked,"SC already exempts more sales tax than we collect. Instead of adding more exemptions, which increases the burden to other taxpayers, we should eliminate the exemptions and drastically lower the rate.",,,,
H 3594,"Constitutional carry restores the right of citizens to carry openly or concealed without asking the state for permission first by applying for a permit.

Unlike previous versions of this legislation, this bill has a fatal flaw in Section 16. Analysis of this section is provided below by Attorney Robert Merting.

If Section 16 is removed, this bill will no longer be considered a bad bill.",-1,,,,,,,,,,,,,,,,checked,"Section 16 is an ATF-style provision to allow the state to take the guns of citizens who have merely been indicted for low-level misdemeanors. 
Under current federal law, if you are indicted with a crime punishable by imprisonment of more than one year, you cannot own a gun.
The wording is confusing. “Any crime punishable for more than 1 year” from the Federal law is translated in Section 16 of this bill as “any State offense classified by the laws of the State as a misdemeanor and punishable by a term of imprisonment of two years or less.”
Say for example that someone is speeding, after being convicted of a misdemeanor punishable with an imprisonment over a year, with a firearm in their possession.
The state police cannot currently seize that firearm under state law. They can send the firearm to the ATF, but the ATF does not care about those situations and will not put forth the energy to prosecute.
Under Section 16, the state would now have the power to prosecute in those situations without going to the ATF.",,,,,,,,
H 3604,"This bill spends over a billion dollars from state rainy day and federal bailout accounts. This money is allocated to economic development project debt and infrastructure, and allows for new projects to be authorized by the Joint Bond Review Committee.",-2,$1086633226,,,,,checked,"Section 2 of the bill spends $500 million from the Contingency Reserve Fund (aka ""CRF,"" one of two state rainy day funds) to reduce debt issued for economic development projects and to use any remaining funds on economic development projects as the Department of Commerce sees fit.

Article III, Section 36 of the South Carolina Constitution restricts the use of these funds. While paying down debt and ""other nonrecurring purposes"" are allowed uses, the intent of the CRF is to fund state agency needs, not those of the private sector.

Therefore, expending state rainy day funds on economic development infrastructure for the benefit of private sector companies is at least a violation of the spirit of the Constitution, if not the letter.",,,,,,,checked,"Section 3 spends $586,633,226 in ""Biden bailout"" ARPA funds on rural infrastructure projects. This money was stolen from the American people by devaluing their currency and it is immoral to spend this money on projects, regardless of how worthy the need.",,,,,,,,,,
H 3686,"This bill establishes a state definition of ""anti-semitism"" and subjects state workers to woke indoctrination on ""diversity, inclusion, and ethics"" (DIE). These are terms associated with critical race theory (CRT).",-1,$0,,,,,,,checked,"Section 1(D) requires ""educating state personnel"" on ""issues related to discrimination, diversity, equity, inclusion, and anti-bias training"" (DIE).

This grows government by promoting and enforcing marxist ways of viewing government, its responsibilities, and how it relates to its citizens.

Note that ""state personnel"" is not defined and would probably include teachers whose salaries are funded by the state.",,,,,,,,,,,,,,,,
H 3726,"This bill moves the Coordinating Council of Economic Development from the Department of Commerce to the Department of Employment and Workforce, and creates a new Office of Statewide Workforce Development Coordination with broad mandates and enforcement powers over every other government agency and NGO that is involved in workforce development—including school districts.

Fiscal impact: MISSING",-2,,,,,,,,checked,"Article 3 creates a brand new Statewide Workforce Development Coordination office under DEW. The Executive Director of DEW is to hire the director of this new office. Since there is no fiscal impact statement yet, it is unknown how many new full-type employees will be required for this new office, or how much it will cost state taxpayers.

This new office will become the new hub of the creepy workforce pipeline agenda that has been implemented since 2019, starting with the workforce data warehouse and the Coordinating Council of Workforce Development, which this new office will oversee.",,,,,,,checked,"This office will take South Carolina another step towards socialism with state central planning of education, workforce, and industry inducements—all funded by taxpayers.

Section 41-30-540(B) lists just a few of the things the central planners will be responsible for:

- ""establish a ten-year labor participation rate goal""

- ""develop an 'Educational Program Alignment Toolkit' to serve as an infrastructure of resources to ... individually and collectively ensure their respective educational programs and curriculums match workforce needs""

- ""ensure individuals ... avoid pursuit of educational offerings in a vacuum""

- ""shar[e] information ... to prepare the state's current and emerging workforce to meet the needs of the state's economy""

- ""study government assistance programs ... available to working families to ... to better incentivize and support employment, and employment-related activities""

This bill will give industry, via the state central planners, leverage over K-12 schools:

- Section 41-30-110(B)(2) and (3) ""all entities performing publicly funded workforce development-related functions are required to comply...their compliance will be monitored and, when necessary, compelled by the Office of Statewide Workforce Development Coordination""

- Section 41-30-710(B)
    - (3) ""provide resources to school districts for compliance and accountability""
    - (6) ""work with school districts and institutions of higher education to create and coordinate workforce education programs""",,,,,,,,
H 3732,"This bill makes restoring and showing classic cars the official ""family-friendly pastime of the State.""",-1,,checked,One could argue that there are many family friendly pastimes in the state. This bill accomplishes nothing substantial.,,,,,,,,,,,,,,,,,,,,,,
H 3774,"The ""Human Life Protection Act"" bans certain abortions, with notable exceptions.",-3,,,,,,checked,"The 14th amendment of the US Constitution expressly prohibits states from infringing on rights and liberties afforded to citizens of the United States.

Do citizens of the United States have a God-given, inalienable right to life?

Are unborn children conceived in the United States persons, vested with the rights of a United States citizen?

If so, then you must conclude that this bill violates all three clauses of the 14th amendment in the following ways.

Clause I: No State shall make or enforce any law which shall abridge the privileges or immunities of citizens of the United States.

- Section 44-41-830(A)(1)(a) allows children conceived in rape or incest to be aborted. These children deserve to have a chance at life, not to be punished with death for the crimes of their fathers.
- Section 44-41-830(A)(1)(b) allows children believed to have fetal anomalies to be aborted. Note that physicians are often wrong in their diagnosis of fetal anomalies. Whether a defect exists or not, the unborn child is still a human person and deserves a chance at life.
- Section 44-41-830(D) allows children to be aborted via contraceptive, provided that the manufacturer's instructions are followed. Note that nearly all contraceptives have secondary abortifacient properties, including hormonal contraceptives. Also note that subsection (3) specifically prohibits mifepristone/misoprostol, but specifically allows ""emergency contraceptives"" which are designed to be taken after conception may have occurred!
- Section 44-41-830(E) allows children conceived via IVF to be ""selectively reduced"" (i.e. culled) if the standards of care for IVF are followed and the physicians make the judgement call that if culling is not done, harm will come to the other unborn children. What makes this so reprehensible is that this is not the normal course of nature! This is a man-made scenario which must be avoided, not accommodated.

Clause II: [No State shall] deprive any person of life, liberty, or property, without due process of law.

- No unborn child has ever committed a crime worthy of death.
- Section 44-41-830 is blatantly unconstitutional by authorizing the killing of the four categories of children listed above, merely on a whim, wish, or judgement call of another person. 

Clause III: [No State shall] deny to any person within its jurisdiction the equal protection of the laws.

- Section 44-41-810 defines ""abortion"" as an act ""to terminate the clinically diagnosable pregnancy of a woman with knowledge that [it]... will... cause the death of the unborn human being"" which violates the equal protection clause by setting apart abortion as a different crime from murder (16-3-10, ""killing another person with malice aforethought"").
- Section 44-41-840 states that performing an illegal abortion is a felony, punishable by $10,000 in fines and/or 2 years in jail. This constitutes an absurd ""price"" on the head of each unborn child. In stark contrast, the penalty for murder is 20 years to life, or the death penalty. Note that 16-3-20(C)(a) instructs judges to lean towards severer penalties if the murder victim is dismembered, if the murderer was paid to murder, or if the murder victim is a child under the age of 12. Most abortions fit all three of these, and all abortions fit at least one of these aggravating circumstances.
- Section 44-41-860 explicitly absolves one of the key parties involved in the commission of a crime of abortion: the mother. This violates clause III as much a law absolving fathers from killing their born children would.
- Section 44-41-880 allows for a cloak of secrecy to be thrown over one of the party involved in the crime of abortion. No such protection is afforded to murderers, even if those murderers are mothers. For instance, no anonymity was granted to Susan Smith, who drowned her tots in a vehicle. Hers is a household name to this day.",,,,,checked,"Section 44-41-850 allows the state to shirk part of its responsibility to prosecute crimes against the unborn by creating a private cause of action—in other words, work for injury attorneys seeking monetary damages.

By contrast, the state is fully and solely responsible for punishing murder, and rightly so, since this is the proper role of government (see Romans 13). Prosecuting crime is NOT the responsibility of private citizens. We would call one who does so anyway a ""vigilante.""",,,checked,"Section 44-41-820 authorizes the deliberate killing of an unborn child (defined as an ""individual organism"") in multiple circumstances.

There are only three options:

1. These children have the right to a chance at life.
2. These are not children at all.
3. You are a monster for picking some children to live, and others to die.

You choose—one of these must apply.

Sadly, the pro-life establishment seems to have made the third choice. Please do not follow in their steps, and repeat their monstrous errors!",,,,,,,,
